Year,Month,Month_name,Day_of_week,Day_type,Mode,Pax_daily
2024,7,Jul,Friday,Normal Weekday,MetroBus,384550
2024,7,Jul,Friday,Normal Weekday,MetroTrain,548450
2024,7,Jul,Friday,Normal Weekday,RegionalBus,39250
2024,7,Jul,Friday,Normal Weekday,RegionalTrain,58700
2024,7,Jul,Friday,Normal Weekday,Tram,481800
2024,7,Jul,Friday,School Holiday Weekday,MetroBus,319700
2024,7,Jul,Friday,School Holiday Weekday,MetroTrain,553500
2024,7,Jul,Friday,School Holiday Weekday,RegionalBus,33000
2024,7,Jul,Friday,School Holiday Weekday,RegionalTrain,62250
2024,7,Jul,Friday,School Holiday Weekday,Tram,446950
2024,7,Jul,Monday,Normal Weekday,MetroBus,374200
2024,7,Jul,Monday,Normal Weekday,MetroTrain,516200
2024,7,Jul,Monday,Normal Weekday,RegionalBus,37650
2024,7,Jul,Monday,Normal Weekday,RegionalTrain,52450
2024,7,Jul,Monday,Normal Weekday,Tram,432400
2024,7,Jul,Monday,School Holiday Weekday,MetroBus,320350
2024,7,Jul,Monday,School Holiday Weekday,MetroTrain,464650
2024,7,Jul,Monday,School Holiday Weekday,RegionalBus,31600
2024,7,Jul,Monday,School Holiday Weekday,RegionalTrain,49800
2024,7,Jul,Monday,School Holiday Weekday,Tram,394500
2024,7,Jul,Saturday,Weekend,MetroBus,190350
2024,7,Jul,Saturday,Weekend,MetroTrain,336100
2024,7,Jul,Saturday,Weekend,RegionalBus,16750
2024,7,Jul,Saturday,Weekend,RegionalTrain,41350
2024,7,Jul,Saturday,Weekend,Tram,350900
2024,7,Jul,Sunday,Weekend,MetroBus,142300
2024,7,Jul,Sunday,Weekend,MetroTrain,255050
2024,7,Jul,Sunday,Weekend,RegionalBus,10300
2024,7,Jul,Sunday,Weekend,RegionalTrain,30100
2024,7,Jul,Sunday,Weekend,Tram,251600
2024,7,Jul,Thursday,Normal Weekday,MetroBus,400350
2024,7,Jul,Thursday,Normal Weekday,MetroTrain,597250
2024,7,Jul,Thursday,Normal Weekday,RegionalBus,40000
2024,7,Jul,Thursday,Normal Weekday,RegionalTrain,61250
2024,7,Jul,Thursday,Normal Weekday,Tram,502600
2024,7,Jul,Thursday,School Holiday Weekday,MetroBus,339400
2024,7,Jul,Thursday,School Holiday Weekday,MetroTrain,550100
2024,7,Jul,Thursday,School Holiday Weekday,RegionalBus,33200
2024,7,Jul,Thursday,School Holiday Weekday,RegionalTrain,62050
2024,7,Jul,Thursday,School Holiday Weekday,Tram,455200
2024,7,Jul,Tuesday,Normal Weekday,MetroBus,417900
2024,7,Jul,Tuesday,Normal Weekday,MetroTrain,607100
2024,7,Jul,Tuesday,Normal Weekday,RegionalBus,39950
2024,7,Jul,Tuesday,Normal Weekday,RegionalTrain,58050
2024,7,Jul,Tuesday,Normal Weekday,Tram,490650
2024,7,Jul,Tuesday,School Holiday Weekday,MetroBus,319000
2024,7,Jul,Tuesday,School Holiday Weekday,MetroTrain,526150
2024,7,Jul,Tuesday,School Holiday Weekday,RegionalBus,30750
2024,7,Jul,Tuesday,School Holiday Weekday,RegionalTrain,57450
2024,7,Jul,Tuesday,School Holiday Weekday,Tram,421200
2024,7,Jul,Wednesday,Normal Weekday,MetroBus,418650
2024,7,Jul,Wednesday,Normal Weekday,MetroTrain,608000
2024,7,Jul,Wednesday,Normal Weekday,RegionalBus,41550
2024,7,Jul,Wednesday,Normal Weekday,RegionalTrain,61900
2024,7,Jul,Wednesday,Normal Weekday,Tram,503900
2024,7,Jul,Wednesday,School Holiday Weekday,MetroBus,350100
2024,7,Jul,Wednesday,School Holiday Weekday,MetroTrain,552850
2024,7,Jul,Wednesday,School Holiday Weekday,RegionalBus,36000
2024,7,Jul,Wednesday,School Holiday Weekday,RegionalTrain,62050
2024,7,Jul,Wednesday,School Holiday Weekday,Tram,462200
2024,8,Aug,Friday,Normal Weekday,MetroBus,393400
2024,8,Aug,Friday,Normal Weekday,MetroTrain,571750
2024,8,Aug,Friday,Normal Weekday,RegionalBus,38300
2024,8,Aug,Friday,Normal Weekday,RegionalTrain,57700
2024,8,Aug,Friday,Normal Weekday,Tram,484100
2024,8,Aug,Monday,Normal Weekday,MetroBus,400700
2024,8,Aug,Monday,Normal Weekday,MetroTrain,557450
2024,8,Aug,Monday,Normal Weekday,RegionalBus,38300
2024,8,Aug,Monday,Normal Weekday,RegionalTrain,54750
2024,8,Aug,Monday,Normal Weekday,Tram,450200
2024,8,Aug,Saturday,Weekend,MetroBus,206050
2024,8,Aug,Saturday,Weekend,MetroTrain,362500
2024,8,Aug,Saturday,Weekend,RegionalBus,18150
2024,8,Aug,Saturday,Weekend,RegionalTrain,41200
2024,8,Aug,Saturday,Weekend,Tram,373200
2024,8,Aug,Sunday,Weekend,MetroBus,147250
2024,8,Aug,Sunday,Weekend,MetroTrain,305700
2024,8,Aug,Sunday,Weekend,RegionalBus,11200
2024,8,Aug,Sunday,Weekend,RegionalTrain,33300
2024,8,Aug,Sunday,Weekend,Tram,276250
2024,8,Aug,Thursday,Normal Weekday,MetroBus,431250
2024,8,Aug,Thursday,Normal Weekday,MetroTrain,638550
2024,8,Aug,Thursday,Normal Weekday,RegionalBus,41100
2024,8,Aug,Thursday,Normal Weekday,RegionalTrain,62300
2024,8,Aug,Thursday,Normal Weekday,Tram,507150
2024,8,Aug,Tuesday,Normal Weekday,MetroBus,423950
2024,8,Aug,Tuesday,Normal Weekday,MetroTrain,645200
2024,8,Aug,Tuesday,Normal Weekday,RegionalBus,39200
2024,8,Aug,Tuesday,Normal Weekday,RegionalTrain,63100
2024,8,Aug,Tuesday,Normal Weekday,Tram,494950
2024,8,Aug,Wednesday,Normal Weekday,MetroBus,424100
2024,8,Aug,Wednesday,Normal Weekday,MetroTrain,638350
2024,8,Aug,Wednesday,Normal Weekday,RegionalBus,39800
2024,8,Aug,Wednesday,Normal Weekday,RegionalTrain,62900
2024,8,Aug,Wednesday,Normal Weekday,Tram,501750
2024,9,Sep,Friday,Normal Weekday,MetroBus,371750
2024,9,Sep,Friday,Normal Weekday,MetroTrain,573200
2024,9,Sep,Friday,Normal Weekday,RegionalBus,33700
2024,9,Sep,Friday,Normal Weekday,RegionalTrain,58600
2024,9,Sep,Friday,Normal Weekday,Tram,438800
2024,9,Sep,Monday,Normal Weekday,MetroBus,362850
2024,9,Sep,Monday,Normal Weekday,MetroTrain,511150
2024,9,Sep,Monday,Normal Weekday,RegionalBus,31500
2024,9,Sep,Monday,Normal Weekday,RegionalTrain,52650
2024,9,Sep,Monday,Normal Weekday,Tram,394900
2024,9,Sep,Monday,School Holiday Weekday,MetroBus,350050
2024,9,Sep,Monday,School Holiday Weekday,MetroTrain,522100
2024,9,Sep,Monday,School Holiday Weekday,RegionalBus,30500
2024,9,Sep,Monday,School Holiday Weekday,RegionalTrain,58550
2024,9,Sep,Monday,School Holiday Weekday,Tram,440850
2024,9,Sep,Saturday,Weekend,MetroBus,190300
2024,9,Sep,Saturday,Weekend,MetroTrain,364600
2024,9,Sep,Saturday,Weekend,RegionalBus,17750
2024,9,Sep,Saturday,Weekend,RegionalTrain,40550
2024,9,Sep,Saturday,Weekend,Tram,323300
2024,9,Sep,Sunday,Weekend,MetroBus,130400
2024,9,Sep,Sunday,Weekend,MetroTrain,211450
2024,9,Sep,Sunday,Weekend,RegionalBus,10650
2024,9,Sep,Sunday,Weekend,RegionalTrain,25950
2024,9,Sep,Sunday,Weekend,Tram,220750
